Metric,Mean,Std
accuracy,0.9627032967032968,0.008137538860309993
f1_score,0.9693168228283128,0.006539011244147958
precision,0.9549278557185906,0.011441860018850884
recall,0.9847731601992491,0.010229293045625608
roc_auc,0.9904920594657322,0.004184942224555336
