Metric,Mean,Std
accuracy,0.9580219780219781,0.01173922669105376
f1_score,0.9656587938724696,0.009655414349809186
precision,0.9468843908945058,0.01796453982804026
recall,0.986125886609314,0.008837371353502316
roc_auc,0.9919774623580911,0.0043670441617684255
